Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
8.0,0,38,0.0,4370.0,71.0,5.0,17.0,3,1,1,30,197.64,0
0.0,0,39,0.0,318.0,5.0,7.0,4.0,2,1,2,25,46.035,0
10.0,0,37,0.0,2453.0,60.0,359.0,24.0,3,1,1,30,1536.52,0
10.0,0,38,0.0,4198.0,66.0,1.0,35.0,1,1,1,15,240.02,0
3.0,0,38,0.0,2393.0,58.0,2.0,33.0,1,1,1,15,145.805,0
11.0,0,38,1.0,3775.0,82.0,32.0,28.0,3,1,1,30,282.28,0
4.0,0,38,0.0,2360.0,39.0,285.0,18.0,3,1,1,30,1235.96,0
13.0,0,37,2.0,9115.0,121.0,144.0,43.0,3,1,1,30,945.44,0
7.0,0,38,0.0,13773.0,169.0,0.0,44.0,3,1,1,30,557.68,0
7.0,0,38,1.0,4515.0,83.0,2.0,25.0,3,1,1,30,191.92,0
6.0,0,38,0.0,5918.0,95.0,7.0,12.0,3,1,1,30,268.52,0
9.0,0,38,0.0,2238.0,54.0,8.0,17.0,3,1,2,30,123.68,0
25.0,0,38,3.0,15140.0,225.0,54.0,32.0,3,1,1,30,830.6,0
4.0,0,38,1.0,3095.0,27.0,483.0,8.0,3,1,1,30,2056.88,0
9.0,0,37,0.0,15485.0,182.0,150.0,30.0,2,1,1,25,1380.015,0
3.0,0,37,1.0,6500.0,86.0,186.0,26.0,3,1,1,30,1007.44,0
0.0,0,37,0.0,875.0,14.0,0.0,11.0,2,1,2,25,40.005,1
2.0,0,38,0.0,710.0,14.0,13.0,8.0,3,1,2,30,80.96,0
5.062962962962963,0,37,0.11851851851851852,929.9296296296296,17.433333333333334,10.148148148148149,8.514814814814814,2,1,2,25,73.71651851851851,1
3.0,0,37,0.0,7508.0,127.0,384.0,43.0,2,1,1,25,2071.575,0
7.0,0,37,1.0,11465.0,154.0,11.0,47.0,4,1,1,45,317.975,0
8.0,0,37,1.0,6718.0,75.0,108.0,37.0,2,1,1,25,791.685,0
23.0,1,33,0.0,955.0,47.0,16.0,17.0,2,1,2,25,117.09,1
21.0,1,36,8.0,10435.0,93.0,1.0,42.0,5,2,1,55,159.42,0
13.0,1,36,1.0,5818.0,98.0,26.0,24.0,2,1,1,25,383.22,1
1.0,0,34,0.0,2840.0,22.0,0.0,14.0,3,1,1,30,114.48,0
9.0,0,35,0.0,2990.0,41.0,9.0,16.0,3,1,2,30,157.24,1
9.0,1,36,0.0,2268.0,44.0,34.0,31.0,3,1,2,30,228.48,1
0.0,0,36,0.0,133.0,2.0,0.0,2.0,3,1,2,30,5.4,1
1.0,0,36,0.0,1668.0,25.0,0.0,6.0,3,1,1,30,67.72,0
3.0,0,33,1.0,6785.0,97.0,14.0,22.0,5,1,1,55,124.23,0
0.0,1,36,0.0,628.0,7.0,9.0,4.0,4,1,2,45,38.375,1
0.0,0,36,1.0,338.0,4.0,4.0,2.0,5,1,1,55,11.13,0
25.0,0,31,3.0,16075.0,238.0,0.0,80.0,2,2,1,25,734.085,0
6.0,0,34,3.0,6965.0,116.0,271.0,33.0,2,2,1,25,1538.145,0
2.0,0,36,0.0,3718.0,82.0,2.0,28.0,2,1,1,25,180.0,0
3.0,0,35,0.0,1665.0,44.0,38.0,20.0,3,1,2,30,220.36,0
6.0,0,36,0.0,2780.0,53.0,175.0,23.0,2,1,1,25,914.985,0
4.0,0,27,1.0,1315.0,36.0,193.0,11.0,2,2,1,25,929.295,0
4.0,0,26,0.0,1568.0,39.0,30.0,68.0,4,1,1,45,115.175,0
11.0,0,27,0.0,700.0,25.0,10.0,7.0,2,1,2,25,77.625,0
0.0,0,26,0.0,825.0,10.0,21.0,3.0,4,1,2,45,73.375,1
10.0,0,25,0.0,1225.0,32.0,19.0,13.0,2,1,1,25,142.065,0
2.0,0,25,0.0,3225.0,61.0,8.0,23.0,3,1,1,30,163.44,0
2.0,0,18,0.0,1695.0,26.0,28.0,14.0,2,1,1,25,203.445,0
16.0,0,17,1.0,6393.0,141.0,85.0,42.0,2,2,1,25,676.53,0
12.0,0,15,0.0,8933.0,171.0,73.0,40.0,4,1,1,45,410.1,0
8.0,0,16,3.0,2853.0,45.0,31.0,19.0,3,2,1,30,239.92,0
2.0,0,9,1.0,4390.0,40.0,215.0,10.0,3,1,1,30,1037.2,0
3.0,0,9,1.0,1488.0,19.0,0.0,7.0,3,1,1,30,60.28,1
11.0,0,40,1.0,4430.0,74.0,10.0,19.0,3,1,1,30,220.16,0
3.0,0,41,1.0,378.0,8.0,12.0,6.0,3,1,1,30,63.44,0
13.0,0,39,1.0,2513.0,63.0,364.0,26.0,3,1,1,30,1559.04,0
13.0,0,40,1.0,4258.0,69.0,6.0,37.0,1,1,1,15,270.985,0
6.0,0,40,1.0,2453.0,61.0,7.0,35.0,2,1,1,25,144.63,0
14.0,0,40,2.0,3835.0,85.0,37.0,30.0,3,2,1,30,304.8,0
7.0,0,40,1.0,2420.0,42.0,290.0,20.0,3,1,1,30,1258.48,0
16.0,0,39,3.0,9175.0,124.0,149.0,45.0,3,1,1,30,967.96,0
10.0,0,40,1.0,13833.0,172.0,5.0,46.0,3,1,1,30,580.2,0
10.0,0,40,2.0,4575.0,86.0,7.0,27.0,3,1,1,30,214.44,0
9.0,0,40,1.0,5978.0,98.0,12.0,14.0,3,1,1,30,291.04,0
12.0,0,40,1.0,2298.0,57.0,13.0,19.0,3,1,1,30,146.2,0
28.0,0,40,4.0,15200.0,228.0,59.0,34.0,3,1,1,30,853.12,0
7.0,0,40,2.0,3155.0,30.0,488.0,10.0,3,1,1,30,2079.4,0
12.0,0,39,1.0,15545.0,185.0,155.0,32.0,2,1,1,25,1405.35,0
6.0,0,39,2.0,6560.0,89.0,191.0,28.0,3,1,1,30,1029.96,0
3.0,0,39,1.0,935.0,17.0,5.0,13.0,2,1,1,25,65.34,0
5.0,0,40,1.0,770.0,17.0,18.0,10.0,3,1,1,30,103.48,0
3.0,1,39,1.0,60.0,3.0,5.0,2.0,2,1,1,25,25.335,1
6.0,0,39,1.0,7568.0,130.0,389.0,45.0,3,1,1,30,1863.92,0
10.0,0,39,2.0,11525.0,157.0,16.0,49.0,4,2,1,45,332.05,0
11.0,0,39,2.0,6778.0,78.0,113.0,39.0,2,1,1,25,817.02,0
26.0,1,35,1.0,1015.0,50.0,21.0,19.0,3,1,1,30,126.6,1
24.0,1,38,9.0,10495.0,96.0,6.0,44.0,5,2,1,55,167.865,0
16.0,0,38,2.0,5878.0,101.0,31.0,26.0,2,1,1,25,408.555,0
4.0,0,36,1.0,2900.0,25.0,5.0,16.0,3,1,1,30,137.0,0
12.0,0,37,1.0,3050.0,44.0,14.0,18.0,3,1,1,30,179.76,1
12.0,1,38,1.0,2328.0,47.0,39.0,33.0,3,1,1,30,251.0,1
3.0,0,38,1.0,193.0,5.0,5.0,4.0,3,1,1,30,27.92,1
4.0,0,38,1.0,1728.0,28.0,5.0,8.0,4,1,1,45,56.4,0
6.0,0,35,2.0,6845.0,100.0,19.0,24.0,5,1,1,55,132.675,0
3.0,0,38,1.0,688.0,10.0,14.0,6.0,4,1,1,45,52.45,1
3.0,0,38,2.0,398.0,7.0,9.0,4.0,5,1,1,55,19.575,0
28.0,0,33,4.0,16135.0,241.0,5.0,82.0,2,1,1,25,759.42,0
9.0,1,36,4.0,7025.0,119.0,276.0,35.0,3,2,1,30,1389.76,0
5.0,0,38,1.0,3778.0,85.0,7.0,30.0,3,1,1,30,182.52,0
6.0,0,37,1.0,1725.0,47.0,43.0,22.0,3,1,1,30,242.88,0
9.0,0,38,1.0,2840.0,56.0,180.0,25.0,2,1,1,25,940.32,0
7.0,0,29,2.0,1375.0,39.0,198.0,13.0,3,2,1,30,848.56,0
7.0,0,28,1.0,1628.0,42.0,35.0,70.0,4,1,1,45,129.25,0
14.0,0,29,1.0,760.0,28.0,15.0,9.0,3,1,1,30,91.52,0
3.0,0,28,1.0,885.0,13.0,26.0,5.0,4,1,1,45,87.45,0
13.0,0,27,1.0,1285.0,35.0,24.0,15.0,2,1,1,25,167.4,0
5.0,0,27,1.0,3285.0,64.0,13.0,25.0,3,1,1,30,185.96,0
5.0,0,20,1.0,1755.0,29.0,33.0,16.0,2,1,1,25,228.78,0
19.0,0,19,2.0,6453.0,144.0,90.0,44.0,2,2,1,25,701.865,0
15.0,0,17,1.0,8993.0,174.0,78.0,42.0,5,1,1,55,254.505,0
11.0,0,18,4.0,2913.0,48.0,36.0,21.0,3,1,1,30,262.44,0
5.0,0,11,2.0,4450.0,43.0,220.0,12.0,3,1,1,30,1059.72,0
6.0,1,11,2.0,1548.0,22.0,5.0,9.0,3,1,1,30,82.8,1
5.0,0,36,0.0,4310.0,68.0,0.0,15.0,2,1,1,25,197.01,0
0.0,0,37,0.0,258.0,2.0,2.0,2.0,2,1,2,25,20.7,0
7.0,0,35,0.0,2393.0,57.0,354.0,22.0,2,1,1,25,1703.25,0
7.0,0,36,0.0,4138.0,63.0,0.0,33.0,1,1,1,15,231.055,0
0.0,0,36,0.0,2333.0,55.0,0.0,31.0,1,1,1,15,131.34,0
8.0,0,36,0.0,3715.0,79.0,27.0,26.0,3,1,1,30,259.76,0
1.0,0,36,0.0,2300.0,36.0,280.0,16.0,3,1,1,30,1213.44,0
10.0,0,35,1.0,9055.0,118.0,139.0,41.0,3,1,1,30,922.92,0
4.0,0,36,0.0,13713.0,166.0,0.0,42.0,3,1,1,30,555.16,0
4.0,0,36,0.0,4455.0,80.0,0.0,23.0,3,1,1,30,181.4,0
3.0,0,36,0.0,5858.0,92.0,2.0,10.0,2,1,1,25,276.75,0
6.0,1,36,0.0,2178.0,51.0,3.0,15.0,3,1,2,30,101.16,0
22.0,0,36,2.0,15080.0,222.0,49.0,30.0,3,1,1,30,808.08,0
1.0,0,36,0.0,3035.0,24.0,478.0,6.0,3,1,1,30,2034.36,0
6.0,0,35,0.0,15425.0,179.0,145.0,28.0,2,1,1,25,1354.68,0
0.0,0,35,0.0,6440.0,83.0,181.0,24.0,3,1,1,30,984.92,0
0.0,0,35,0.0,815.0,11.0,0.0,9.0,2,1,2,25,37.17,0
0.0,0,36,0.0,650.0,11.0,8.0,6.0,2,1,2,25,65.745,0
5.062962962962963,0,35,0.11851851851851852,929.9296296296296,17.433333333333334,10.148148148148149,8.514814814814814,2,1,2,25,73.71651851851851,1
0.0,0,35,0.0,7448.0,124.0,379.0,41.0,2,1,1,25,2046.24,0
4.0,0,35,0.0,11405.0,151.0,6.0,45.0,3,1,1,30,486.24,0
5.0,0,35,0.0,6658.0,72.0,103.0,35.0,2,1,1,25,766.35,0
20.0,0,31,0.0,895.0,44.0,11.0,15.0,2,1,2,25,91.755,1
18.0,0,34,7.0,10375.0,90.0,0.0,40.0,4,1,1,45,261.625,0
10.0,0,34,0.0,5758.0,95.0,21.0,22.0,2,1,1,25,357.885,1
0.0,0,32,0.0,2780.0,19.0,0.0,12.0,3,1,1,30,111.96,0
6.0,0,33,0.0,2930.0,38.0,4.0,14.0,2,1,2,25,151.56,1
6.0,1,34,0.0,2208.0,41.0,29.0,29.0,3,1,2,30,205.96,1
10.485849056603774,1,34,0.28773584905660377,2003.882075471698,39.04245283018868,18.57075471698113,16.75943396226415,3,1,2,30,150.33740566037736,1
0.0,0,34,0.0,1608.0,22.0,0.0,4.0,3,1,1,30,65.2,0
0.0,0,31,0.0,6725.0,94.0,9.0,20.0,4,1,1,45,192.975,0
0.0,0,34,0.0,568.0,4.0,4.0,2.0,4,1,2,45,24.3,1
9.033766233766233,0,34,2.207792207792208,5910.688311688312,85.52207792207793,27.4987012987013,34.774025974025975,5,1,1,55,181.49785714285716,0
22.0,0,29,2.0,16015.0,235.0,0.0,78.0,2,1,1,25,731.25,0
3.0,0,32,2.0,6905.0,113.0,266.0,31.0,2,2,1,25,1512.81,0
0.0,0,34,0.0,3658.0,79.0,0.0,26.0,2,1,1,25,168.165,0
0.0,0,33,0.0,1605.0,41.0,33.0,18.0,3,1,2,30,197.84,0
3.0,0,34,0.0,2720.0,50.0,170.0,21.0,2,1,1,25,889.65,0
1.0,0,25,0.0,1255.0,33.0,188.0,9.0,2,2,1,25,903.96,0
1.0,0,24,0.0,1508.0,36.0,25.0,66.0,4,1,1,45,101.1,0
8.0,0,25,0.0,640.0,22.0,5.0,5.0,2,1,2,25,52.29,0
0.0,1,24,0.0,765.0,7.0,16.0,1.0,4,1,2,45,59.3,1
7.0,0,23,0.0,1165.0,29.0,14.0,11.0,2,1,1,25,116.73,0
0.0,0,23,0.0,3165.0,58.0,3.0,21.0,3,1,1,30,140.92,0
0.0,0,16,0.0,1635.0,23.0,23.0,12.0,2,1,1,25,178.11,0
13.0,0,15,0.0,6333.0,138.0,80.0,40.0,1,2,1,15,795.905,0
9.0,0,13,0.0,8873.0,168.0,68.0,38.0,4,1,1,45,396.025,0
5.0,0,14,2.0,2793.0,42.0,26.0,17.0,3,1,1,30,217.4,0
0.0,0,7,0.0,4330.0,37.0,210.0,8.0,3,1,1,30,1014.68,0
0.0,0,7,0.0,1428.0,16.0,0.0,5.0,3,1,1,30,57.76,1
9.0,0,42,1.0,4450.0,73.0,15.0,21.0,3,1,1,30,240.92,0
1.0,1,43,0.0,398.0,7.0,17.0,8.0,3,1,2,30,84.2,1
11.0,0,41,1.0,2533.0,62.0,369.0,28.0,3,1,1,30,1579.8,0
11.0,0,42,1.0,4278.0,68.0,11.0,39.0,1,1,1,15,299.53,0
4.0,0,42,1.0,2473.0,60.0,12.0,37.0,2,1,1,25,167.985,0
12.0,0,42,2.0,3855.0,84.0,42.0,32.0,3,1,1,30,325.56,0
5.0,0,42,1.0,2440.0,41.0,295.0,22.0,3,1,1,30,1279.24,0
14.0,0,41,3.0,9195.0,123.0,154.0,47.0,3,1,1,30,988.72,0
8.0,0,42,1.0,13853.0,171.0,10.0,48.0,3,1,1,30,600.96,0
8.0,0,42,2.0,4595.0,85.0,12.0,29.0,3,1,1,30,235.2,0
7.0,0,42,1.0,5998.0,97.0,17.0,16.0,3,1,1,30,311.8,0
10.0,0,42,0.0,2318.0,56.0,18.0,21.0,3,1,2,30,166.96,0
26.0,0,42,4.0,15220.0,227.0,64.0,36.0,3,2,1,30,873.88,0
5.0,0,42,2.0,3175.0,29.0,493.0,12.0,3,1,1,30,2100.16,0
10.0,0,41,1.0,15565.0,184.0,160.0,34.0,2,1,1,25,1428.705,0
4.0,0,41,2.0,6580.0,88.0,196.0,30.0,3,1,1,30,1050.72,0
1.0,0,41,0.0,955.0,16.0,10.0,15.0,2,1,2,25,88.695,0
3.0,0,42,0.0,790.0,16.0,23.0,12.0,3,1,2,30,124.24,0
1.0,0,41,0.0,80.0,2.0,10.0,4.0,2,1,2,25,48.69,1
4.0,0,41,1.0,7588.0,129.0,394.0,47.0,3,1,1,30,1884.68,0
8.0,0,41,2.0,11545.0,156.0,21.0,51.0,4,1,1,45,345.025,0
9.0,0,41,2.0,6798.0,77.0,118.0,41.0,2,1,1,25,840.375,0
24.0,1,37,0.0,1035.0,49.0,26.0,21.0,3,1,2,30,147.36,1
22.0,1,40,9.0,10515.0,95.0,11.0,46.0,5,1,1,55,175.65,0
14.0,0,40,2.0,5898.0,100.0,36.0,28.0,2,1,1,25,431.91,1
2.0,0,38,1.0,2920.0,24.0,10.0,18.0,3,1,1,30,157.76,0
10.0,0,39,0.0,3070.0,43.0,19.0,20.0,3,1,2,30,200.52,1
10.0,1,40,0.0,2348.0,46.0,44.0,35.0,3,1,2,30,271.76,1
1.0,0,40,0.0,213.0,4.0,10.0,6.0,3,1,2,30,48.68,1
2.0,0,40,1.0,1748.0,27.0,10.0,10.0,4,1,1,45,69.375,0
4.0,0,37,2.0,6865.0,99.0,24.0,26.0,5,1,1,55,140.46,0
1.0,1,40,0.0,708.0,9.0,19.0,8.0,4,1,2,45,65.425,1
1.0,0,40,2.0,418.0,6.0,14.0,6.0,5,1,1,55,27.36,0
26.0,0,35,4.0,16155.0,240.0,10.0,84.0,2,1,1,25,782.775,0
7.0,1,38,4.0,7045.0,118.0,281.0,37.0,2,2,1,25,1586.835,0
3.0,0,40,1.0,3798.0,84.0,12.0,32.0,3,1,1,30,203.28,0
4.0,0,39,0.0,1745.0,46.0,48.0,24.0,3,1,2,30,263.64,0
7.0,0,40,1.0,2860.0,55.0,185.0,27.0,2,1,1,25,963.675,0
5.0,0,31,2.0,1395.0,38.0,203.0,15.0,2,2,1,25,977.985,0
5.0,0,30,1.0,1648.0,41.0,40.0,72.0,4,1,1,45,142.225,0
12.0,0,31,0.0,780.0,27.0,20.0,11.0,3,1,2,30,112.28,0
1.0,0,30,0.0,905.0,12.0,31.0,7.0,4,1,2,45,100.425,0
11.0,0,29,1.0,1305.0,34.0,29.0,17.0,2,1,1,25,190.755,0
3.0,0,29,1.0,3305.0,63.0,18.0,27.0,3,1,1,30,206.72,0
3.0,0,22,1.0,1775.0,28.0,38.0,18.0,2,1,1,25,252.135,0
17.0,0,21,2.0,6473.0,143.0,95.0,46.0,2,2,1,25,725.22,0
13.0,0,19,1.0,9013.0,173.0,83.0,44.0,5,1,1,55,262.29,0
9.0,0,20,4.0,2933.0,47.0,41.0,23.0,3,1,1,30,283.2,0
3.0,0,13,2.0,4470.0,42.0,225.0,14.0,3,1,1,30,1080.48,0
4.0,0,13,2.0,1568.0,21.0,10.0,11.0,3,1,1,30,103.56,1
7.0,0,34,0.0,4290.0,69.0,0.0,13.0,2,1,1,25,196.155,0
4.404938271604938,0,35,0.0,949.5432098765432,21.720987654320986,15.387654320987654,9.45679012345679,2,1,2,25,93.81918518518518,0
9.0,0,33,0.0,2373.0,58.0,349.0,20.0,2,1,1,25,1679.895,0
9.0,0,34,0.0,4118.0,64.0,0.0,31.0,1,1,1,15,230.01,0
2.0,0,34,0.0,2313.0,56.0,0.0,29.0,1,1,1,15,130.295,0
10.0,0,34,0.0,3695.0,80.0,22.0,24.0,3,1,1,30,239.0,0
3.0,0,34,0.0,2280.0,37.0,275.0,14.0,3,1,1,30,1192.68,0
12.0,0,33,1.0,9035.0,119.0,134.0,39.0,3,1,1,30,902.16,0
6.0,0,34,0.0,13693.0,167.0,0.0,40.0,3,1,1,30,554.4,0
6.0,0,34,0.0,4435.0,81.0,0.0,21.0,3,1,1,30,180.64,0
5.0,0,34,0.0,5838.0,93.0,0.0,8.0,2,1,1,25,266.895,0
8.0,0,34,0.0,2158.0,52.0,0.0,13.0,3,1,2,30,88.4,0
24.0,0,34,2.0,15060.0,223.0,44.0,28.0,3,1,1,30,787.32,0
3.0,0,34,0.0,3015.0,25.0,473.0,4.0,3,1,1,30,2013.6,0
8.0,0,33,0.0,15405.0,180.0,140.0,26.0,2,1,1,25,1331.325,0
2.0,0,33,0.0,6420.0,84.0,176.0,22.0,3,1,1,30,964.16,0
0.0,0,33,0.0,795.0,12.0,0.0,7.0,2,1,2,25,36.315,0
